Date,btc_market_price,btc_total_bitcoins,btc_trade_volume,btc_avg_block_size,btc_median_confirmation_time,btc_hash_rate,btc_transaction_fees,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_output_volume,btc_estimated_transaction_volume,target_t7
2016-05-11,452.51,15534100.0,20927427.4956,0.813015774436,9.48333333333,1284309.11259,45.88566709,6.50717315332,383199.0,234412.0,2510174.68514,316018.793413,452.9
2016-05-12,454.7,15537575.0,22652718.674,0.779993971223,8.28333333333,1342247.86954,46.75238994,7.01084813517,377121.0,228409.0,2295414.38032,347686.569036,441.87
2016-05-13,456.82,15541375.0,15841283.8822,0.762693901316,7.96666666667,1467781.84295,47.58216903,7.57132359143,378733.0,232146.0,2577781.01106,305021.962456,441.25
2016-05-14,455.65,15544975.0,10458258.4269,0.812342930556,9.81666666667,1390530.16701,48.00318276,7.86734499349,369111.0,211280.0,1910552.81004,227205.778662,443.89
2016-05-15,457.08,15548450.0,9548354.6085,0.777696956835,8.58333333333,1342247.86954,45.61359577,8.03913684977,353892.0,200171.0,2042797.05916,212769.804982,438.0
2016-05-16,454.88,15551975.0,17875806.6495,0.906763574468,10.9,1361560.78853,60.51568467,6.80115998417,424856.0,239809.0,2688738.83398,304479.780671,442.17
2016-05-17,452.89,15555500.0,16508087.6112,0.867932744681,7.78333333333,1361560.78853,58.4408726,6.80103818021,393224.0,238626.0,2703819.91509,318709.750618,445.34
2016-05-18,452.9,15559325.0,14866087.635,0.874331733766,9.96666666667,1487094.76194,58.26811656,7.52998260322,412831.0,235084.0,2250217.34378,344947.284808,447.94
2016-05-19,441.87,15562325.0,26518499.388,0.955835603306,11.6166666667,1168431.59867,54.98968957,6.21086733414,372460.0,219146.0,2544456.42695,364610.092047,452.49
2016-05-20,441.25,15566050.0,25045661.4336,0.781658288591,8.01666666667,1438812.46448,51.58622819,7.95821636129,354677.0,209396.0,2134599.69178,351885.236889,470.29
2016-05-21,443.89,15569575.0,11310985.6272,0.891297453901,8.56666666667,1361560.78853,56.82664163,8.3042344287,354128.0,191461.0,1578456.14886,229532.523215,522.43
2016-05-22,438.0,15574175.0,12185445.8837,0.603581788043,6.75,1776788.54673,43.20770201,11.0319882694,338084.0,184348.0,1512379.66886,193682.578736,512.16
2016-05-23,442.17,15578675.0,16267423.8436,0.644258265193,7.55,1747819.16826,54.73645083,9.09105178676,414216.0,222755.0,2136337.68815,287554.261461,525.15
2016-05-24,445.34,15582350.0,15674746.7744,0.849967387755,8.18333333333,1456454.92276,59.53134626,6.7465375197,406728.0,246517.0,2514701.15829,331470.157565,531.15
2016-05-25,447.94,15585800.0,17482963.7888,0.871456863309,9.9,1377192.06982,59.87623565,6.38972863585,397464.0,247844.0,3341064.53142,383550.083319,539.47
2016-05-26,452.49,15589175.0,16430495.235,0.823084058394,9.85,1357376.35658,55.65651605,7.1575319512,364137.0,220093.0,3584296.38193,368474.57302,539.99
2016-05-27,470.29,15592650.0,62133880.5648,0.948130618705,11.0166666667,1377192.06982,70.89209327,7.74560415681,407566.0,215296.0,4124114.20189,715367.346334,568.0
2016-05-28,522.43,15595975.0,68432471.5568,0.86336475188,9.11666666667,1317744.93011,52.34180926,9.13953961799,377266.0,193054.0,3665525.35247,497557.649106,573.74
2016-05-29,512.16,15599650.0,72487384.5528,0.68007829932,7.76666666667,1456454.92276,47.98546674,10.6676899478,354651.0,178742.0,2740859.08647,404554.641059,574.02
2016-05-30,525.15,15603250.0,41187985.5816,0.892476613793,9.46666666667,1436639.20952,57.85196125,9.15064755322,403738.0,211369.0,2248431.58458,442353.017743,584.5
2016-05-31,531.15,15606425.0,59032595.9724,0.867019984252,9.51666666667,1258297.79041,52.33924442,7.96380582337,392767.0,215249.0,2561419.97723,414293.94539,577.54
2016-06-01,539.47,15610000.0,34219344.816,0.840414423611,10.85,1426731.35291,56.18497783,8.41596420618,405301.0,234385.0,2351992.3761,359797.599812,578.68
2016-06-02,539.99,15613450.0,26922628.8648,0.826838398551,9.86666666667,1367284.2132,58.53519721,8.19810523257,392655.0,231099.0,2342608.49727,351602.348236,575.2941375
2016-06-03,568.0,15617000.0,60092817.477,0.832558443662,9.63333333333,1406915.63967,54.69656979,8.72491744389,402066.0,234669.0,1938990.17389,285960.790354,577.549875
2016-06-04,573.74,15619975.0,45168189.7968,0.840556008403,10.6166666667,1179034.93747,46.44371282,8.81459901758,368869.0,196665.0,1493595.27664,234022.94647,594.4399875
2016-06-05,574.02,15624225.0,30675648.696,0.613488467836,6.53333333333,1694243.48158,44.3641164,13.0133176756,368586.0,190528.0,1835595.21509,243799.137336,664.8465
2016-06-06,584.5,15628475.0,34509545.4635,0.7054571,6.51666666667,1684335.62496,52.13956486,11.3694859437,414350.0,221171.0,1964198.18425,304809.721312,702.0665
2016-06-07,577.54,15631975.0,47316934.322,0.802703760563,9.93333333333,1406915.63967,56.5104784,8.72785410376,424994.0,248576.0,2321510.8989,359673.252282,685.241875
2016-06-08,578.68,15635575.0,28300189.1564,0.802240027778,7.91666666667,1403462.33971,50.40981971,9.18710735071,401953.0,229933.0,2004179.70546,309158.946699,692.289625
2016-06-09,575.2941375,15639700.0,30222288.2144,0.720621090909,7.08333333333,1608133.93092,53.21550949,10.1999490881,426447.0,236353.0,2095207.93461,367269.629204,762.43005
2016-06-10,577.549875,15643300.0,24377615.4694,0.822652541667,8.68333333333,1403462.33971,52.81223012,9.2686709326,407301.0,228367.0,2301811.95545,382778.512444,743.9164
2016-06-11,594.4399875,15647200.0,24538115.3284,0.696120801282,7.61,1520417.53468,46.24529278,11.0934518568,374995.0,213159.0,1894576.34459,274453.721982,754.36625
2016-06-12,664.8465,15650850.0,143472595.475,0.830047534247,8.25,1422954.8722,52.42482099,11.7081534945,411623.0,210711.0,2831538.69084,448636.761599,760.8168
2016-06-13,702.0665,15654875.0,146971122.839,0.915602751553,9.7,1569148.86592,38.86224972,11.3715193501,451922.0,251354.0,2757346.67011,275333.91153,729.192585714
2016-06-14,685.241875,15658175.0,84746672.7106,0.955535954887,12.92,1296253.41098,69.86384675,9.38388558208,420352.0,247632.0,2362492.05778,364359.356024,665.9586125
2016-06-15,692.289625,15661975.0,48065817.394,0.918202246753,14.13,1500925.00219,84.56662361,10.4213331812,445830.0,262510.0,2323706.83883,335983.668375,587.4542375
2016-06-16,762.43005,15665700.0,169439516.676,0.957703718121,9.66,1452193.67095,82.29665972,10.9127722491,471278.0,267870.0,2796295.72029,565034.586124,624.542
2016-06-17,743.9164,15669425.0,128874495.581,0.930753738255,9.3,1452193.67095,78.90209509,11.174764403,453509.0,253752.0,2774465.08796,417385.47881,660.60465
2016-06-18,754.36625,15673375.0,85041797.5195,0.868547924528,7.75,1549656.33343,70.82066566,12.9803363084,423334.0,236291.0,2345533.81651,274046.631205,664.9068875
2016-06-19,760.8168,15677800.0,40868096.6248,0.723107564972,6.0,1725089.12589,63.14349102,15.7503823471,414283.0,218298.0,2011496.98885,201638.940654,627.3926125
2016-06-20,729.192585714,15681900.0,36207387.1844,0.78029272561,8.6,1598387.66467,76.7711358,12.4615978885,465928.0,249334.0,2647568.48398,292302.474418,646.7030125
2016-06-21,665.9586125,15685625.0,149642818.365,0.914910006711,9.56666666667,1551383.97529,76.28917579,10.2926945958,468641.0,248164.0,2849547.25254,467412.094482,646.378475
2016-06-22,587.4542375,15688850.0,106868002.098,0.945643806202,12.6333333333,1343144.51552,78.85018659,8.2722090387,422909.0,235641.0,2712263.6756,487842.33334,637.959625
2016-06-23,624.542,15692350.0,145480129.316,0.919795857143,9.78333333333,1457676.21839,75.30395381,9.27223150126,431633.0,241300.0,3159340.6434,487129.616153,671.407925
2016-06-24,660.60465,15695575.0,117308802.548,0.943101961538,11.25,1353556.48851,74.41897823,9.1834555437,437104.0,238888.0,2799621.35999,332485.112538,675.1863375
2016-06-25,664.9068875,15699625.0,64948673.829,0.797439385542,7.78333333333,1728387.5161,62.41393404,13.2772153614,409197.0,210998.0,2173917.10955,233794.126917,701.7121125
2016-06-26,627.3926125,15703275.0,50909007.7638,0.763768034014,7.05,1530560.02931,55.03999378,12.688692551,388840.0,183755.0,1821174.88605,258901.344118,658.4175
2016-06-27,646.7030125,15706950.0,59731341.4329,0.777207469388,8.91666666667,1530560.02931,61.78464957,11.169082631,379861.0,217029.0,2170091.79897,316891.761466,676.3294375
2016-06-28,646.378475,15710650.0,55881769.6312,0.761583013423,8.7,1551383.97529,58.50652455,11.5251883032,428929.0,213058.0,1867643.40659,315477.272285,666.4855875
2016-06-29,637.959625,15714300.0,68912927.9088,0.764559226027,9.88333333333,1520148.05633,61.68595835,10.6064731984,371774.0,224112.0,1988551.27083,311685.486382,673.786825
2016-06-30,671.407925,15718050.0,66687600.5481,0.79751048,9.43333333333,1561795.94828,62.5040288,11.1188172549,402792.0,231960.0,2084880.7612,337666.890392,636.3588625
2016-07-01,675.1863375,15721925.0,61281896.9689,0.751746796178,8.16666666667,1634679.7592,58.85158307,12.7756125245,375377.0,210409.0,2071603.87075,290271.620435,659.5552375
2016-07-02,701.7121125,15725650.0,45483640.6541,0.694817161074,8.1,1551383.97529,52.92652832,13.3845454347,344995.0,198875.0,2151502.29902,241080.772175,651.8649125
2016-07-03,658.4175,15729500.0,57134569.7986,0.614648811688,8.25,1603443.84023,45.47185343,14.5130941686,352911.0,177127.0,1737085.8401,230927.274514,648.0949
